ICS_ID,ORG_Entity,Cleaned_Entity,entity_lower,Is_Academic,Lemma_Entity,Lemma_Cleaned,Matched_Category
0c384fe9-4788-4178-8808-79c4579434d1,Radia Pomorza i Kujaw,Radia Pomorza i Kujaw,radia pomorza i kujaw,False,radio pomorze i Kujawy,radio pomorze i Kujawy,Media / Publishing
0c384fe9-4788-4178-8808-79c4579434d1,Wydawnictwem Wulkan Dominika,Wydawnictwem Wulkan Dominika,wydawnictwem wulkan dominika,False,wydawnictwo wulkan Dominika,wydawnictwo wulkan Dominika,Media / Publishing
0c54b7a8-5f21-4368-a864-645dfc444ea7,Urzędem Statystycznym,Urzędem Statystycznym,urzędem statystycznym,False,urząd statystyczny,urząd statystyczny,Government / Public Administration
0c578111-5e7c-495a-b0b2-efac0b580353,elnego Sądu Administracyjnego,elnego Sądu Administracyjnego,elnego sądu administracyjnego,False,elny sąd administracyjny,elny sąd administracyjny,Government / Public Administration
0c578111-5e7c-495a-b0b2-efac0b580353,Wojewódzkiego Sądu Administracyjnego,Wojewódzkiego Sądu Administracyjnego,wojewódzkiego sądu administracyjnego,False,wojewódzki sąd administracyjny,wojewódzki sąd administracyjny,Government / Public Administration
0cc60539-3ca0-46e8-912c-53eaea70ea02,nanoplus Nanosystems and Technologies GmbH,nanoplus Nanosystems and Technologies GmbH,nanoplus nanosystems and technologies gmbh,False,nanoplus nanosystems and technologies gmba,nanoplus nanosystems and technologies gmba,Company / Business
0d78ff8f-4c47-4edd-b281-3bbb47557851,ościelny Inspektor Ochrony Danych,ościelny Inspektor Ochrony Danych,ościelny inspektor ochrony danych,False,ościelny inspektor ochrona dane,ościelny inspektor ochrona dane,Government / Public Administration
0dbd214b-8973-4854-b9ed-55a67aea4a08,Krajowego Oś,Krajowego Oś,krajowego oś,False,krajowy oś,krajowy oś,Government / Public Administration
0e759be4-eb76-4edf-99af-ef97bc0688be,Minister,Minister,minister,False,minister,minister,Government / Public Administration
0e759be4-eb76-4edf-99af-ef97bc0688be,Urząd Morski w,Urząd Morski w,urząd morski w,False,urząd morski w,urząd morski w,Government / Public Administration
0f1b6221-7fa6-42be-9b6f-0dbeafa020f2,I Liceum Ogólnokształcące,I Liceum Ogólnokształcące,i liceum ogólnokształcące,False,i liceum ogólnokształcące,i liceum ogólnokształcące,Education (non-university)
0f6f87a3-45e0-4ba5-91b7-9c7382575886,nie Sp. z o.o.,nie Sp. z o.o.,nie sp. z o.o.,False,nie Sp . z ograniczona_odpowiedzialność .,nie Sp . z o.o.,Company / Business
0fa1166b-eb3c-4f9a-ae42-ce5f3d39dc89,Kraj,Kraj,kraj,False,kraj,kraj,Government / Public Administration
0fad32ca-a83d-469e-9c0a-06887627cf8c,AMC Tech sp.,AMC Tech sp.,amc tech sp.,False,Amcyhiczy tech sa .,Amcyhiczy tech s.a.,Company / Business
0fad32ca-a83d-469e-9c0a-06887627cf8c,Nokia Solutions and Networks sp.,Nokia Solutions and Networks sp.,nokia solutions and networks sp.,False,nokia solutions and networks sa .,nokia solutions and networks s.a.,Company / Business
0ff436cb-6624-4c69-a2e5-a870612941fc,bezpieczeństwa,bezpieczeństwa,bezpieczeństwa,False,bezpieczeństwo,bezpieczeństwo,Military / Defense / Security
1064f16e-82e9-481d-adfa-dc1398ff109e,Komisji Standaryzacji Nazw Geograficznych,Komisji Standaryzacji Nazw Geograficznych,komisji standaryzacji nazw geograficznych,False,komisja standaryzacji nazwa geograficzny,komisja standaryzacji nazwa geograficzny,Government / Public Administration
10867b4d-05b2-480a-ba4a-249037290946,Urzęd,Urzęd,urzęd,False,urzęd,urzęd,Government / Public Administration
10867b4d-05b2-480a-ba4a-249037290946,em Miasta,em Miasta,em miasta,False,być miasto,być miasto,Government / Public Administration
10d33af4-f099-49fa-997b-ec92c552785d,International Summer Courses - Printmaking and Textile Art,International Summer Courses - Printmaking and Textile Art,international summer courses - printmaking and textile art,False,International summer courses - printmaking and textile artykuł,International summer courses - printmaking and textile artykuł,International Organization / EU
1100aeb9-d0d1-4158-b4fa-1c4fe611f28c,Nadbałtyckie Centrum Kultury,Nadbałtyckie Centrum Kultury,nadbałtyckie centrum kultury,False,nadbałtyckie centrum kultura,nadbałtyckie centrum kultura,Cultural Institution / Arts
1109d499-0c17-44a0-90a7-e193975c0665,Forum Regionalnych Organizacji Turystycznych,Forum Regionalnych Organizacji Turystycznych,forum regionalnych organizacji turystycznych,False,forum regionalny organizacja turystyczny,forum regionalny organizacja turystyczny,Government / Public Administration
110bf1f8-b6d4-4174-bc02-f4a34d2d7ea8,Technology Flag,Technology Flag,technology flag,False,Technology flag,Technology flag,Company / Business
111929dd-ed02-4972-9d3f-e4da62207982,Polski Holding Obronny,Polski Holding Obronny,polski holding obronny,False,Polska holding obronny,Polska holding obronny,Military / Defense / Security
11af6545-6e32-401b-bf86-6a9c5b2f604c,Dyrektor Departamentu Zdrowia,Dyrektor Departamentu Zdrowia,dyrektor departamentu zdrowia,False,dyrektor departament zdrowie,dyrektor departament zdrowie,Health / Hospitals / Medical
128d7a02-43fb-4dbe-aa62-a39ffaded909,"European Society for Literature, Science and the Arts","European Society for Literature, Science and the Arts","european society for literature, science and the arts",False,"european society forówna literature , science and the artko_pacyj","european society forówna literature , science and the artko_pacyj",International Organization / EU
128d7a02-43fb-4dbe-aa62-a39ffaded909,Muzeum Zachęta,Muzeum Zachęta,muzeum zachęta,False,muzeum zachęt,muzeum zachęt,Cultural Institution / Arts
128d7a02-43fb-4dbe-aa62-a39ffaded909,Ad-Venture (Multimedialne Muzea,Ad-Venture (Multimedialne Muzea,ad-venture (multimedialne muzea,False,ad - venture ( multimedialne muzea,ad - venture ( multimedialne muzea,Media / Publishing
128d7a02-43fb-4dbe-aa62-a39ffaded909,Muzeum w Sko,Muzeum w Sko,muzeum w sko,False,muzeum w sko,muzeum w sko,Cultural Institution / Arts
13418065-d08f-43c7-bfee-19ae1b581eaa,Europe,Europe,europe,False,europe,europe,International Organization / EU
13f8bfdc-47cb-4bf7-a291-42f0e1a64ab0,JSW Innowacje,JSW Innowacje,jsw innowacje,False,JSW innowacje,JSW innowacje,NGO / Association / Foundation
13f8bfdc-47cb-4bf7-a291-42f0e1a64ab0,JSW S.A.,JSW S.A.,jsw s.a.,False,JSW spółka_akcyjna .,JSW spółka_akcyjna .,Company / Business
14116e79-3a7b-40a6-8174-72ca549b962e,Polsko-Amerykańska Komisja Fulbrighta,Polsko-Amerykańska Komisja Fulbrighta,polsko-amerykańska komisja fulbrighta,False,polski - amerykański komisja fulbrighta,polski - amerykański komisja fulbrighta,Government / Public Administration
141f608f-8b54-468f-af6d-3fb09715173d,rajowa Administracja Skarbowa,rajowa Administracja Skarbowa,rajowa administracja skarbowa,False,rajowa administracja skarbowa,rajowa administracja skarbowa,Government / Public Administration
14868535-451f-45cd-bc0b-5615314b11b1,NovaPUR Sp. z o.o,NovaPUR Sp. z o.o,novapur sp. z o.o,False,novapur Sp . z ograniczona_odpowiedzialność,novapur Sp . z o.o.,Company / Business
149071c8-b179-4b9d-925c-f496fcf94a55,Podkarpackiej Platform,Podkarpackiej Platform,podkarpackiej platform,False,podkarpacki platform,podkarpacki platform,Government / Public Administration
14fd690e-f77c-43ce-b112-4bd79fdd54bb,Fundacji Azji-Pacyfiku,Fundacji Azji-Pacyfiku,fundacji azji-pacyfiku,False,fundacja Azja - pacyfik,fundacja Azja - pacyfik,NGO / Association / Foundation
14fd690e-f77c-43ce-b112-4bd79fdd54bb,NATO DE,NATO DE,nato de,False,NATO de,NATO de,International Organization / EU
15f3e1b6-a077-4c1f-ba8e-1acf983e8bbe,Muzeum Żup Krakowskich,Muzeum Żup Krakowskich,muzeum żup krakowskich,False,muzeum żup krakowski,muzeum żup krakowski,Cultural Institution / Arts
